                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2005,                 1.6911,                0.82987,                0.29469,                0.40942,                0.31605,                0.17665,                  1.423,                    inf,                0.86408,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.1895,                0.75104,                0.81443,                0.74365,                 0.5325,                0.54891,                0.32593,                 1.1726,                 1.9991,                0.82215,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2296,                0.72331,                0.81666,                0.80872,                0.56098,                0.62859,                0.37385,                 1.1728,                0.78268,                0.82684,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.3069,                0.70281,                0.82514,                0.82137,                 0.5465,                0.64779,                0.39144,                 1.0887,                0.92627,                0.81784,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1482,                0.64061,                0.81221,                0.69876,                0.57804,                0.68611,                0.40538,                 1.1119,                0.84035,                0.81398,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.155,                0.62261,                0.81302,                0.86924,                0.60337,                0.68849,                0.41651,                  1.111,                0.80066,                0.81593,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1634,                0.64892,                0.80963,                0.84498,                 0.6162,                 0.6646,                0.39233,                 1.0554,                0.61942,                0.81513,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1012,                0.58117,                0.80615,                 0.7142,                 0.6507,                0.66081,                  0.399,                 1.0994,                0.63432,                0.81413,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1094,                0.58361,                0.80746,                0.63761,                0.61809,                0.61703,                0.38437,                 1.0894,                0.74966,                0.81546,               0.001151,               0.001151,               0.001151
                     10,                 1.1177,                0.59547,                0.80776,                0.62208,                0.62041,                0.64488,                0.38905,                 1.0255,                0.52573,                0.81575,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0488,                0.54166,                0.80058,                0.87158,                0.58428,                0.69015,                0.44094,                0.95723,                0.49383,                0.80484,              0.0011263,              0.0011263,              0.0011263
                     12,                 0.9984,                0.49715,                0.79951,                0.84701,                0.66508,                0.75417,                0.46678,                0.91862,                0.46552,                0.80344,              0.0011139,              0.0011139,              0.0011139
                     13,                0.98634,                0.48732,                0.79739,                0.77591,                0.70264,                0.74628,                0.48577,                0.93547,                  0.464,                0.80352,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0079,                0.50642,                0.79861,                0.82563,                0.61971,                0.68116,                0.41303,                 1.0197,                0.50181,                0.81447,              0.0010891,              0.0010891,              0.0010891
                     15,                0.97943,                0.48676,                0.79721,                0.79833,                0.68557,                0.75465,                0.46492,                0.98967,                 0.4864,                0.80667,              0.0010768,              0.0010768,              0.0010768
                     16,                0.98811,                0.48308,                0.79891,                  0.892,                0.69102,                0.77281,                0.51409,                0.90278,                0.46535,                0.80388,              0.0010644,              0.0010644,              0.0010644
                     17,                0.97125,                 0.4812,                0.79538,                 0.7602,                 0.6717,                0.70321,                0.43239,                0.97733,                0.51687,                0.80299,               0.001052,               0.001052,               0.001052
                     18,                 1.0147,                0.49406,                0.79498,                0.90147,                0.68184,                0.76181,                0.49032,                0.92484,                0.44594,                0.80232,              0.0010396,              0.0010396,              0.0010396
                     19,                0.91476,                0.45559,                0.79511,                0.89858,                0.63837,                0.73122,                0.45507,                0.95223,                0.45556,                0.80926,              0.0010273,              0.0010273,              0.0010273
                     20,                0.90792,                0.44556,                0.79167,                0.83403,                 0.7274,                0.76317,                0.48967,                0.88142,                 0.4338,                 0.7987,              0.0010149,              0.0010149,              0.0010149
                     21,                 0.9336,                0.45857,                0.79287,                0.85171,                0.71829,                0.76262,                0.51014,                 0.8526,                 0.4211,                0.80109,              0.0010025,              0.0010025,              0.0010025
                     22,                0.91579,                0.44254,                0.79202,                0.82872,                0.64464,                0.68345,                 0.4401,                0.88254,                0.46257,                0.80474,             0.00099013,             0.00099013,             0.00099013
                     23,                 0.8798,                0.43374,                0.78914,                0.91723,                 0.6081,                0.72278,                0.47415,                0.86799,                0.45321,                0.79954,             0.00097775,             0.00097775,             0.00097775
                     24,                0.90957,                0.44103,                0.78903,                0.83119,                0.70425,                0.75765,                0.50209,                0.85454,                0.46916,                0.80031,             0.00096537,             0.00096537,             0.00096537
                     25,                0.87798,                0.42358,                0.78972,                0.85162,                0.74781,                0.79449,                 0.5293,                0.89073,                0.42277,                0.80083,               0.000953,               0.000953,               0.000953
                     26,                0.87832,                0.42358,                0.79067,                0.88774,                0.70506,                0.76721,                0.51533,                 0.8931,                0.45192,                0.80376,             0.00094062,             0.00094062,             0.00094062
                     27,                0.87114,                0.42564,                0.78823,                0.90125,                 0.6822,                0.76471,                0.51975,                 0.8491,                0.42335,                0.79911,             0.00092825,             0.00092825,             0.00092825
                     28,                0.85923,                0.42583,                 0.7892,                0.91297,                0.75853,                0.81809,                 0.5517,                0.83337,                0.42262,                0.79622,             0.00091588,             0.00091588,             0.00091588
                     29,                0.87553,                0.42479,                0.78931,                0.87964,                0.74467,                0.80748,                0.55835,                0.80496,                0.39007,                 0.7967,              0.0009035,              0.0009035,              0.0009035
                     30,                0.85949,                0.41208,                0.78877,                0.83917,                0.73282,                0.78771,                0.52799,                0.88231,                0.41327,                0.80155,             0.00089112,             0.00089112,             0.00089112
                     31,                0.91118,                0.43061,                0.78846,                0.82854,                0.75032,                0.80528,                0.54915,                0.80703,                0.39605,                0.79856,             0.00087875,             0.00087875,             0.00087875
                     32,                0.83004,                0.39545,                0.78488,                0.92861,                0.72221,                0.80928,                 0.5383,                0.81151,                0.39714,                0.79535,             0.00086637,             0.00086637,             0.00086637
                     33,                0.82872,                0.39723,                0.78657,                0.89982,                0.75057,                0.82832,                0.55949,                0.80286,                0.39621,                0.79711,               0.000854,               0.000854,               0.000854
                     34,                0.79636,                0.38476,                0.78713,                 0.8301,                0.74029,                0.79164,                0.53347,                0.84517,                0.39667,                0.79866,             0.00084162,             0.00084162,             0.00084162
                     35,                0.85076,                0.40513,                 0.7864,                0.90377,                0.72155,                 0.7858,                0.54335,                0.80535,                0.38853,                0.79696,             0.00082925,             0.00082925,             0.00082925
                     36,                0.81473,                 0.3914,                0.78398,                0.89304,                0.74059,                0.81232,                0.56569,                0.79614,                0.38662,                 0.7958,             0.00081688,             0.00081688,             0.00081688
                     37,                0.80054,                0.38528,                0.78549,                0.88818,                0.76392,                0.81908,                0.56435,                0.80925,                0.38715,                0.79855,              0.0008045,              0.0008045,              0.0008045
                     38,                  0.815,                0.38952,                0.78389,                0.85039,                0.71602,                0.78946,                 0.5357,                0.84792,                 0.4016,                0.79908,             0.00079213,             0.00079213,             0.00079213
                     39,                0.84525,                0.40025,                0.78654,                 0.8627,                0.73053,                0.81946,                0.56222,                0.79842,                0.38612,                0.79656,             0.00077975,             0.00077975,             0.00077975
                     40,                0.81187,                0.38448,                0.78485,                0.88354,                0.74036,                0.80794,                0.57005,                0.79762,                0.38043,                0.79692,             0.00076738,             0.00076738,             0.00076738
                     41,                0.79566,                 0.3771,                0.78317,                0.91663,                0.73949,                0.80686,                0.56557,                0.77331,                0.38771,                0.79651,               0.000755,               0.000755,               0.000755
                     42,                0.83041,                0.39498,                0.78807,                0.91127,                0.71784,                0.80418,                0.54256,                0.83054,                0.39499,                0.80073,             0.00074263,             0.00074263,             0.00074263
                     43,                0.81052,                0.38025,                0.78228,                0.88931,                0.73326,                0.79322,                0.54252,                0.86008,                 0.4065,                0.79885,             0.00073025,             0.00073025,             0.00073025
                     44,                0.79674,                0.37749,                0.78414,                0.84991,                0.72276,                0.79096,                 0.5462,                0.78917,                0.39775,                0.79676,             0.00071788,             0.00071788,             0.00071788
                     45,                0.81223,                0.38605,                0.78274,                0.84609,                0.74481,                0.80292,                0.56011,                0.77784,                0.37336,                0.79457,              0.0007055,              0.0007055,              0.0007055
                     46,                0.78641,                0.37366,                0.78361,                 0.8772,                0.72085,                0.79004,                0.54083,                0.83113,                0.39212,                0.79686,             0.00069313,             0.00069313,             0.00069313
                     47,                0.78388,                0.37131,                0.78341,                0.92234,                0.73357,                0.81615,                0.57517,                0.76535,                0.38207,                0.79354,             0.00068075,             0.00068075,             0.00068075
                     48,                0.76682,                0.36431,                0.78234,                0.83038,                0.75978,                0.80853,                0.56518,                0.77368,                0.37599,                0.79477,             0.00066838,             0.00066838,             0.00066838
                     49,                0.76649,                0.36412,                0.78381,                0.87663,                0.71189,                 0.7968,                0.54308,                0.77995,                0.38724,                0.79549,               0.000656,               0.000656,               0.000656
                     50,                 0.7657,                  0.364,                0.78124,                0.90789,                0.76508,                0.83111,                0.56929,                0.81161,                0.38476,                0.79477,             0.00064362,             0.00064362,             0.00064362
                     51,                 0.7824,                0.36783,                0.78271,                 0.8384,                0.74052,                0.82138,                0.56484,                0.80508,                0.37914,                0.79566,             0.00063125,             0.00063125,             0.00063125
                     52,                0.77649,                0.35872,                0.78306,                0.89296,                0.73796,                0.80936,                0.55574,                0.80544,                0.37808,                0.79581,             0.00061887,             0.00061887,             0.00061887
                     53,                0.75322,                0.34992,                0.78092,                0.84195,                  0.707,                0.78249,                0.51457,                0.89311,                0.40555,                0.80074,              0.0006065,              0.0006065,              0.0006065
                     54,                0.77233,                0.35975,                0.78132,                0.83607,                0.76515,                0.82944,                0.55731,                0.77305,                0.38235,                0.79342,             0.00059413,             0.00059413,             0.00059413
                     55,                0.76198,                0.35757,                0.77972,                0.87003,                0.69466,                0.79839,                0.53523,                0.84341,                0.40673,                0.79874,             0.00058175,             0.00058175,             0.00058175
                     56,                 0.7733,                0.36968,                0.78283,                0.89942,                0.73477,                0.81667,                0.57538,                0.75695,                0.36331,                0.79369,             0.00056938,             0.00056938,             0.00056938
                     57,                0.75092,                0.35094,                0.77884,                0.86541,                0.73768,                0.81758,                0.56411,                0.76991,                 0.3698,                0.79277,               0.000557,               0.000557,               0.000557
                     58,                0.72666,                0.34488,                0.77903,                0.91804,                0.73117,                0.82555,                0.57078,                0.75768,                0.36536,                0.79382,             0.00054463,             0.00054463,             0.00054463
                     59,                0.72367,                0.34275,                0.77963,                0.88501,                0.74992,                0.80911,                 0.5736,                0.78509,                0.37488,                0.79385,             0.00053225,             0.00053225,             0.00053225
                     60,                0.73192,                0.34074,                0.77812,                0.84643,                0.71061,                0.79405,                0.55285,                0.78121,                0.37694,                0.79604,             0.00051988,             0.00051988,             0.00051988
                     61,                0.72184,                0.34004,                0.77622,                0.87303,                0.71383,                0.79277,                0.54657,                0.81112,                0.37166,                0.79447,              0.0005075,              0.0005075,              0.0005075
                     62,                0.73643,                0.34481,                0.77962,                0.90622,                0.75045,                  0.831,                0.58026,                0.77922,                0.36685,                0.79373,             0.00049513,             0.00049513,             0.00049513
                     63,                0.70739,                0.33671,                0.77883,                0.89008,                0.74591,                0.81291,                0.56367,                 0.7809,                0.36977,                0.79427,             0.00048275,             0.00048275,             0.00048275
                     64,                0.71192,                0.33853,                0.77771,                0.89904,                0.70288,                 0.7871,                0.54796,                0.78007,                0.38228,                0.79375,             0.00047038,             0.00047038,             0.00047038
                     65,                0.71722,                0.34004,                0.77941,                0.92523,                0.73778,                 0.8112,                0.56668,                0.79479,                0.37226,                0.79519,               0.000458,               0.000458,               0.000458
                     66,                0.71811,                0.33945,                0.77822,                0.87951,                0.76154,                0.82168,                0.57738,                0.78182,                0.36765,                0.79348,             0.00044563,             0.00044563,             0.00044563
                     67,                0.70201,                0.33617,                 0.7803,                0.89138,                0.74936,                0.81656,                0.57303,                0.77653,                0.36771,                0.79394,             0.00043325,             0.00043325,             0.00043325
                     68,                0.70714,                0.33289,                0.77855,                0.93244,                0.75427,                0.82695,                0.55862,                0.78474,                0.36568,                0.79372,             0.00042087,             0.00042087,             0.00042087
                     69,                0.69876,                0.33267,                0.77821,                0.87054,                0.74938,                0.81514,                0.57141,                0.77684,                 0.3709,                0.79377,              0.0004085,              0.0004085,              0.0004085
                     70,                0.73697,                0.34115,                0.78019,                0.94226,                0.73494,                0.83839,                0.58517,                 0.8052,                0.36847,                0.79587,             0.00039613,             0.00039613,             0.00039613
                     71,                0.71122,                 0.3334,                0.77697,                0.85748,                0.71782,                 0.8112,                0.57285,                0.78856,                0.37816,                0.79418,             0.00038375,             0.00038375,             0.00038375
                     72,                0.71167,                0.33187,                0.77676,                0.90396,                0.74441,                0.81403,                0.57399,                0.78526,                0.36424,                0.79366,             0.00037138,             0.00037138,             0.00037138
                     73,                 0.6818,                0.31864,                0.77725,                0.86926,                0.74735,                0.81834,                0.58967,                0.75282,                0.36313,                0.79082,               0.000359,               0.000359,               0.000359
                     74,                0.69976,                 0.3268,                0.77855,                0.87529,                0.75033,                0.81852,                0.56511,                0.78256,                0.36857,                0.79249,             0.00034663,             0.00034663,             0.00034663
                     75,                0.70711,                0.32659,                0.77775,                0.87964,                0.73558,                0.80761,                0.56613,                0.76884,                0.36078,                0.79285,             0.00033425,             0.00033425,             0.00033425
                     76,                0.67045,                0.31475,                0.77649,                0.88088,                0.74972,                0.81829,                0.57811,                0.75935,                0.35452,                0.79205,             0.00032188,             0.00032188,             0.00032188
                     77,                0.67197,                0.31423,                0.77721,                0.87297,                0.72167,                0.81282,                0.57654,                0.77597,                0.34905,                 0.7924,              0.0003095,              0.0003095,              0.0003095
                     78,                0.67502,                0.31682,                0.77628,                0.87483,                0.75161,                0.82665,                0.57914,                0.77994,                0.35198,                0.79333,             0.00029713,             0.00029713,             0.00029713
                     79,                0.67095,                0.31435,                0.77527,                0.92518,                 0.7532,                0.85744,                0.58722,                0.79505,                0.35764,                0.79475,             0.00028475,             0.00028475,             0.00028475
                     80,                0.66778,                0.31195,                0.77553,                0.90569,                0.73517,                0.83326,                0.57498,                 0.7765,                0.35811,                0.79232,             0.00027237,             0.00027237,             0.00027237
                     81,                0.64627,                0.30504,                0.77565,                0.88036,                0.73761,                0.81605,                 0.5773,                0.77886,                0.35104,                0.79212,                0.00026,                0.00026,                0.00026
                     82,                0.64072,                0.30186,                0.77427,                0.90616,                0.74459,                0.83719,                0.58617,                0.76499,                 0.3529,                0.79191,             0.00024762,             0.00024762,             0.00024762
                     83,                0.63873,                0.30083,                0.77612,                0.88001,                0.71964,                 0.8076,                0.56591,                0.77937,                0.35698,                0.79348,             0.00023525,             0.00023525,             0.00023525
                     84,                0.65575,                0.30626,                0.77443,                 0.9011,                0.73564,                0.83246,                0.58483,                0.78746,                0.35542,                0.79318,             0.00022288,             0.00022288,             0.00022288
                     85,                0.65245,                0.30639,                0.77309,                0.90043,                0.73341,                0.81674,                0.57442,                0.77523,                0.35299,                0.79314,              0.0002105,              0.0002105,              0.0002105
                     86,                0.63207,                0.29979,                0.77481,                0.92378,                0.72213,                0.84153,                0.58784,                0.78423,                0.36483,                0.79264,             0.00019813,             0.00019813,             0.00019813
                     87,                0.63734,                0.30316,                0.77369,                0.91853,                0.74215,                 0.8321,                0.59176,                0.77098,                0.34728,                0.79128,             0.00018575,             0.00018575,             0.00018575
                     88,                0.64952,                0.30324,                0.77376,                0.90451,                0.77694,                0.84025,                0.59163,                0.76925,                0.34941,                0.79279,             0.00017338,             0.00017338,             0.00017338
                     89,                0.62103,                0.29468,                0.77332,                0.90947,                0.74543,                0.83645,                0.58868,                0.75696,                0.34812,                0.79246,               0.000161,               0.000161,               0.000161
                     90,                0.62446,                 0.2947,                0.77496,                0.86718,                0.76238,                0.84513,                0.59792,                0.77762,                 0.3507,                0.79215,             0.00014862,             0.00014862,             0.00014862
                     91,                0.59794,                0.29146,                0.77262,                0.87045,                0.73843,                0.81112,                 0.5761,                0.76844,                0.35093,                0.79051,             0.00013625,             0.00013625,             0.00013625
                     92,                0.58635,                0.28795,                0.77372,                0.86179,                0.73415,                0.81469,                0.56855,                0.77344,                0.34768,                0.79274,             0.00012387,             0.00012387,             0.00012387
                     93,                0.58515,                0.28317,                0.77514,                 0.8981,                0.76166,                0.83414,                0.58661,                0.77244,                0.34831,                0.79153,              0.0001115,              0.0001115,              0.0001115
                     94,                0.56808,                0.27946,                0.77263,                0.86721,                 0.7256,                0.80881,                0.57797,                0.78345,                0.35058,                0.79267,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.57152,                0.27828,                 0.7707,                0.94362,                 0.7391,                0.82107,                 0.5834,                0.77202,                0.34802,                0.79209,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.56184,                0.27537,                0.77243,                0.87508,                0.75213,                0.83419,                0.58566,                0.78197,                0.34703,                0.79261,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.55527,                0.27325,                0.77094,                 0.8616,                0.76283,                0.82368,                0.58774,                0.77587,                0.34561,                0.79135,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.54212,                 0.2671,                0.77237,                 0.8744,                0.76604,                0.83499,                0.59241,                0.76907,                 0.3422,                0.79175,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.56005,                0.27282,                0.77096,                0.86532,                0.75615,                0.83078,                0.58777,                0.76905,                0.34012,                0.79174,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.54378,                0.26775,                 0.7698,                0.88523,                0.75452,                0.82337,                0.57802,                0.76303,                0.34037,                0.79135,             2.4875e-05,             2.4875e-05,             2.4875e-05
